uid,haul,sn,traps,start_dt,end_dt,seconds,max_load,min_load,kfactor,span,peakdist,peakheight,peak_analysis,max_endline_load,endline_index
17348481-2018-11-30-1,1,17348481,15,11/30/2018 10:04,11/30/2018 10:13,509,1058.4,42,0.6,0.05,10,200,TRUE,1058.4,192
17348481-2018-11-30-2,2,17348481,15,11/30/2018 10:20,11/30/2018 10:27,453,1053.6,40.2,0.6,0.05,10,200,TRUE,1053.6,214
17348481-2018-11-30-3,3,17348481,15,11/30/2018 10:36,11/30/2018 10:43,473,996,41.4,0.6,0.05,10,200,TRUE,996,221
17348481-2018-11-30-4,4,17348481,15,11/30/2018 10:53,11/30/2018 11:02,535,942.6,42,0.6,0.05,10,200,TRUE,942.6,160
17348481-2018-11-30-5,5,17348481,15,11/30/2018 11:10,11/30/2018 11:18,467,1056,40.2,0.6,0.05,10,200,TRUE,913.2,198
17348481-2018-11-30-6,6,17348481,15,11/30/2018 11:23,11/30/2018 11:32,527,904.8,40.2,0.6,0.05,10,200,TRUE,904.8,227
